SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,LNG,LAT
609897,EARLE,"2040 W 62nd St, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6755466606,41.7812251731
609898,EBERHART,"3400 W 65th Pl, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.707952634,41.7744204524
609899,EBINGER,"7350 W Pratt Ave, 60631",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.8111697846,42.0044079217
609900,CURTIS,"32 E 115th St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6216526077,41.6854184004
609901,EDGEBROOK,"6525 N Hiawatha Ave, 60646",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7618404749,41.9994368337
609902,METCALFE,"12339 S Normal Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6343055215,41.6694440228
609903,EDWARDS,"4815 S Karlov Ave, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7258561778,41.8055415402
609904,ELLINGTON,"243 N Parkside Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7665893774,41.8855295806
609907,ERICSON,"3600 W 5th Ave, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7158044313,41.8757441232
609908,ESMOND,"1865 W Montvale Ave, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6691586697,41.6894196067
609909,EVERETT,"3419 S Bell Ave, 60608",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.681310304,41.8315551612
609910,FALCONER,"3020 N Lamon Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7493306251,41.9357845742
609912,FARNSWORTH,"5414 N Linder Ave, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7660716577,41.9797900559
609917,FERNWOOD,"10041 S Union Ave, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.640413646,41.7111836227
609918,FIELD,"7019 N Ashland Ave, 60626",ES,"4, 5, 6, 7, 8",District,-87.6699854012,42.0096638553
609919,FISKE,"6020 S Langley Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6086328968,41.7851828168
609920,KANOON,"2233 S Kedzie Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7051120774,41.850771484
609921,TELPOCHCALLI,"2832 W 24th Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6960058794,41.8479474326
609922,BELMONT-CRAGIN,"5252 W Palmer St, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7568429035,41.920150047
609924,FORT DEARBORN,"9025 S Throop St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6554811604,41.7296726751
609925,KELLMAN,"3030 W Arthington St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7021629045,41.8701677176
609926,FRANKLIN,"225 W Evergreen Ave, 60610",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6355128103,41.9065999905
609927,FOSTER PARK,"8530 S Wood St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6680993119,41.7384254778
609928,FULLER,"4214 S St Lawrence Ave, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6117840427,41.8180034037
609929,FULTON,"5300 S Hermitage Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6684358814,41.7975802712
609930,FUNSTON,"2010 N Central Park Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7168916649,41.9176165144
609933,GALE,"1631 W Jonquil Ter, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6719389761,42.0210905582
609935,GALLISTEL,"10347 S Ewing Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5351753062,41.7068009998
609937,GARVY,"5225 N Oak Park Ave, 60656",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7962351135,41.9763516642
609938,GARY,"3740 W 31st St, 60623",ES,"PK, 3, 4, 5, 6, 7, 8",District,-87.7186966352,41.8370651521
609939,GILLESPIE,"9301 S State St, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6237194379,41.7253322795
609941,RANDOLPH,"7316 S Hoyne Ave, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6759655137,41.760614128
609942,GOETHE,"2236 N Rockwell St, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6928996958,41.9228310077
609943,OWENS,"12302 S State St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6225456611,41.6706175402
609944,GRISSOM,"12810 S Escanaba Ave, 60633",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5533067097,41.662480999
609945,GOUDY,"5120 N Winthrop Ave, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6579124929,41.9758165306
609947,GRAHAM,"4436 S Union Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6433442353,41.8133037295
609949,"GRAY, W","3730 N Laramie Ave, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7571155988,41.9487635797
609950,ORTIZ DE DOMINGUEZ,"3000 S Lawndale Ave, 60623",ES,"PK, K, 1, 2",District,-87.7171903206,41.8387905205
609951,ARIEL,"1119 E 46th St, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5975029314,41.8111734622
609952,GREENE,"3525 S Honore St, 60609",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.6714923698,41.8296692818
609954,GREGORY,"3715 W Polk St, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7186661287,41.8707421629
609955,GRESHAM,"8524 S Green St, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6450252379,41.7389201582
609956,GRIMES,"5450 W 64th Pl, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7588032937,41.7754642618
609958,GUNSAULUS,"4420 S Sacramento Ave, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6993641852,41.8130073703
609959,HAINES,"247 W 23rd Pl, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6338063315,41.8499583158
609960,HALE,"6140 S Melvina Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7765787091,41.7801917323
609961,HEROES,"8344 S Commercial Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5518617191,41.7437530837
609963,HAMILTON,"1650 W Cornelia Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6708653735,41.9452196546
609964,HAMLINE,"4747 S Bishop St, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6611746594,41.8072415579
609966,HAMMOND,"2819 W 21st Pl, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6962433006,41.8527191348
609967,FINKL,"2332 S Western Ave, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6856678431,41.8492149059
609968,MCAULIFFE,"1841 N Springfield Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7239311319,41.9148163419
609969,HARTE,"1556 E 56th St, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5868545968,41.7934472441
609971,HARVARD,"7525 S Harvard, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6327368738,41.7573405423
609972,HAUGAN,"4540 N Hamlin Ave, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7231280352,41.9640287096
609973,ZAPATA,"2728 S Kostner Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7343133242,41.8413938044
609974,HAWTHORNE,"3319 N Clifton Ave, 60657",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6577088769,41.9422754889
609975,HAY,"1018 N Laramie Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7558132531,41.8991713561
609976,HAYT,"1518 W Granville Ave, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6685037745,41.9945408867
609977,WOODLAWN,"6657 S Kimbark Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.594391996,41.773365532
609978,SMITH,"744 E 103rd St, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6046604085,41.7075576174
609979,HEALY,"3010 S Parnell Ave, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6403407501,41.8395948563
609981,HEARST,"4640 S Lamon Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7457260572,41.8081750003
609983,HEDGES,"4747 S Winchester Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6733272594,41.807112132
609985,HEFFERAN,"4409 W Wilcox St, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.735801894,41.8786646473
609986,HENDERSON,"5650 S Wolcott Ave, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6718873069,41.7905912872
609987,HENDRICKS,"4316 S Princeton Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.633664477,41.8157877519
609988,HENRY,"4250 N Saint Louis Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7156323718,41.9589887977
609990,SOUTH LOOP,"1212 S Plymouth Ct, 60605",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.628615004,41.8668745064
609991,HERZL,"3711 W Douglas Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.718993854,41.8620812968
609993,LARA,"4619 S Wolcott Ave, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6721815932,41.8097702973
609994,HIBBARD,"3244 W Ainslie St, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6",District,-87.7103616136,41.9703352353
609995,HITCH,"5625 N McVicker Ave, 60646",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7791230522,41.9836716963
609996,HOLDEN,"1104 W 31st St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6537916682,41.8380273882
609997,HOLMES,"955 W Garfield Blvd, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6497953559,41.7937876495
610000,HOWE,"720 N Lorel Ave, 60644",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7593983848,41.8936122116
610002,HOYNE,"8905 S Crandon Ave, 60617",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5682281011,41.7333377526
610003,CUFFE,"8324 S Racine Ave, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6536334476,41.7424516276
610004,CULLEN,"10650 S Eberhart Ave, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6112444583,41.7003351419
610005,"HUGHES, C","4247 W 15th St, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.731777387,41.8605177384
610006,HURLEY,"3849 W 69th Pl, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7195408323,41.7667852817
610009,GALILEO,"820 S Carpenter St, 60607",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6533655527,41.8712548243
610010,JAHN,"3149 N Wolcott Ave, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6758097189,41.939247497
610011,JAMIESON,"5650 N Mozart St, 60659",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7005294202,41.9846407763
610012,JENNER,"1119 N Cleveland Ave, 60610",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6410555598,41.9020548417
610013,PILSEN,"1420 W 17th St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6622094335,41.8588488763
610015,JUNGMAN,"1746 S Miller St, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6523015944,41.8580647771
610016,KELLOGG,"9241 S Leavitt St, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6772325066,41.7252634398
610017,SAUCEDO,"2850 W 24th Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.697315538,41.8479407166
610019,KERSHAW,"6450 S Lowe Ave, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6408920253,41.7764528106
610021,CASALS,"3501 W Potomac Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7142336469,41.904502765
610022,KILMER,"6700 N Greenview Ave, 60626",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6682224667,42.0036404629
610024,CARDENAS,"2345 S Millard Ave, 60623",ES,"PK, K, 1, 2, 3",District,-87.7160174071,41.8484877708
610026,KINZIE,"5625 S Mobile Ave, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7794826001,41.7899646348
610027,KIPLING,"9351 S Lowe Ave, 60620",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6395207214,41.723626906
610029,LOZANO,"1501 N Greenview Ave, 60642",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6650932725,41.908886128
610030,KOZMINSKI,"936 E 54th St, 60615",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6024814476,41.798001878
610032,GREEN,"1150 W 96th St, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6525001397,41.7192919481
610033,LASALLE,"1734 N Orleans St, 60614",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6375648638,41.913899533
610034,LAWNDALE,"3500 W Douglas Blvd, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7129567869,41.8629600248
610036,LEWIS,"1431 N Leamington Ave, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7545499505,41.9068260506
610037,LIBBY,"5300 S Loomis Blvd, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6599328174,41.7976848326
610038,LINCOLN,"615 W Kemper Pl, 60614",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6444973036,41.9245248165
610039,VON LINNE,"3221 N Sacramento Ave, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7026346744,41.94000928
610040,LLOYD,"2103 N Lamon Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.7485150133,41.9188140963
610041,"LOCKE, J","2828 N Oak Park Ave, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7956040707,41.9317623545
610043,LOVETT,"6333 W Bloomingdale Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7839188472,41.9127180272
610044,LOWELL,"3320 W Hirsch St, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7102170022,41.9065195916
610046,LYON,"2941 N McVicker Ave, 60634",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7771741985,41.934192163
610047,MADISON,"7433 S Dorchester Ave, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5907123955,41.7595480605
610048,MANIERRE,"1420 N Hudson Ave, 60610",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6398265131,41.9082468827
610051,NORTHWEST,"5252 W Palmer St, 60639",ES,"6, 7, 8",District,-87.7581542565,41.9201547704
610052,MANN,"8050 S Chappel Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5748156376,41.748274128
610053,MARQUETTE,"6550 S Richmond St, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6970297997,41.7738810803
610054,MARSH,"9822 S Exchange Ave, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.5524834263,41.7165880149
610055,FARADAY,"3250 W Monroe St, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7080920199,41.8797135916
610056,MASON,"4217 W 18th St, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7316724333,41.8568637007
610057,FAIRFIELD,"6201 S Fairfield Ave, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6921150641,41.7809038986
610059,MAYER,"2250 N Clifton Ave, 60614",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6572874387,41.9232035225
610060,"JACKSON, A","1340 W Harrison St, 60607",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.660984672,41.8742996388
610062,MCCLELLAN,"3527 S Wallace St, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6411025749,41.8299928633
610063,MCCORMICK,"2712 S Sawyer Ave, 60623",ES,"PK, K, 1, 2, 3, 4, 5",District,-87.7063000924,41.8422671657
610065,TILL,"6543 S Champlain Ave, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6093572107,41.7754238441
610066,MCDADE,"8801 S Indiana Ave, 60619",ES,"K, 1, 2, 3, 4, 5, 6",District,-87.6192144433,41.7345499085
610067,MCKAY,"6901 S Fairfield Ave, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6917865024,41.768142765
610068,HANSON PARK,"5411 W Fullerton Ave, 60639",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.761514771,41.9239552583
610070,MCPHERSON,"4728 N Wolcott Ave, 60640",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6762882527,41.9678468682
610073,MITCHELL,"2233 W Ohio St, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6831845865,41.8920821664
610074,MONROE,"3651 W Schubert Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7192237512,41.9299886036
610075,MONTEFIORE,"1310 S Ashland Ave, 60608",ES,8,District,-87.6664442314,41.8647241544
610076,MOOS,"1711 N California Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6969413866,41.9125054837
610077,MORRILL,"6011 S Rockwell St, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6885492556,41.784313282
610078,INTER-AMERICAN,"851 W Waveland Ave, 60613",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6515733418,41.9490033007
610081,SHERIDAN,"533 W 27th St, 60616",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6413398053,41.8444001593
610082,MOUNT GREENWOOD,"10841 S Homan Ave, 60655",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7058099453,41.6957338625
610083,BEARD,"6445 W Strong St, 60656",ES,"PK, K",District,-87.7896303313,41.9701248828
610084,KELLER,"3020 W 108th St, 60655",ES,"1, 2, 3, 4, 5, 6, 7, 8",District,-87.6972783365,41.6971703346
610086,MOUNT VERNON,"10540 S Morgan St, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.6476524864,41.7019521175
610087,BLAIR,"6751 W 63rd Pl, 60638",ES,PK,District,-87.7906044249,41.7765562702
610088,MOZART,"2200 N Hamlin Ave, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",District,-87.7218881442,41.9209096496
